"","Station","depth","S","J","Theta","m","Theta2","m2"
"155",35,0,8,596,1.20579,0.926313,0,0
"156",35,20,7,860,1.12232,0.198945,0,0
"157",35,40,3,242,2.55253,0.00298529,0,0
"158",35,90,3,108,0.953458,0.0292351,0,0
"159",36,0,13,548,2.2705,1,0,0
"160",36,20,11,908,1.74484,0.601288,0,0
"161",36,40,5,972,0.670348,0.268817,0,0
"162",36,65,7,400,1.11383,0.801706,0,0
"163",37,0,10,412,1.7255,1,0,0
"164",37,20,7,276,1.17861,1,0,0
"165",37,35,6,404,0.905751,0.78722,0,0
"166",37,45,3,392,0.368068,0.315779,0,0
"167",37,80,5,164,1.10472,0.173587,0,0
"168",38,0,8,340,1.34417,1,0,0
"169",38,20,5,138,1.03266,0.323795,0,0
"170",38,30,7,222,1.27317,0.808275,0,0
"171",38,65,7,268,1.53397,0.18212,0,0
"172",38,80,4,100,86.7343,0.00699902,0,0
"173",39,0,8,384,1.3089,1,0,0
"174",39,10,4,260,1.32472,0.0152355,0,0
"175",39,35,6,106,1.06e+09,0.0114323,8.58e+08,0.0114323
"176",39,60,5,346,0.710451,1,0,0
"177",39,80,6,260,2.73998,0.0163455,0,0
"178",40,0,11,120,3.30187,0.426779,0,0
"179",40,15,7,336,1.17671,0.692309,0,0
"180",40,50,6,228,0.997991,1,0,0
"181",40,65,8,708,1.27612,0.400864,0,0
"182",40,75,10,252,1.9414,1,0,0
