S, J, I, Std_I, m, Std_m, loglike_min
7,209,8.07276,13.8063,0.0373613,0.0615093,34.5951
5,166,8.41642,19.2841,0.048533,0.105804,21.5916
5,154,9.90311,21.8492,0.0607914,0.12597,23.6187
3,65,4.79403,22.1468,0.0696867,0.299495,8.59346
6,119,7.91114,15.6739,0.0628311,0.116662,33.2132
4,138,4.01838,14.1785,0.0284954,0.0976784,15.5743
9,235,15.1013,17.2663,0.060623,0.0651122,43.2687
2,36,1.66077,16.4681,0.0453009,0.428854,5.36928
8,642,14.4025,18.0775,0.021975,0.0269761,39.4455
9,534,19.6392,20.4308,0.0355371,0.0356557,41.7407
5,155,7.38502,17.5832,0.0457603,0.103966,26.0843
5,46,3.44179,10.9474,0.0710501,0.209934,20.2237
10,237,12.0427,13.7277,0.0485509,0.0526572,49.8192
6,76,10.7528,20.6908,0.125393,0.211029,29.604
6,179,9.92315,18.4588,0.0528043,0.0930387,29.1658
7,99,6.05988,11.7529,0.0582345,0.106367,34.2243
8,261,12.4135,16.4694,0.0455686,0.0577024,39.8178
7,217,12.1103,18.4971,0.0530895,0.0767833,36.5226
6,192,7.54144,15.6584,0.0379842,0.0758716,24.7889
5,41,8.51827,20.6811,0.175568,0.351417,17.099
9,365,25.9152,25.2207,0.0664636,0.0603835,38.9162
9,422,20.7706,21.7476,0.0470168,0.0469136,39.6735
6,228,6.03062,13.3424,0.0258791,0.0557742,33.0184
4,111,4.3129,15.1574,0.0377289,0.127593,21.0348
6,246,9.24573,17.4792,0.0363653,0.066249,25.4265
5,163,7.38712,17.3062,0.0436109,0.0977138,21.567
7,58,9.32676,16.3195,0.140618,0.211449,27.3141
8,218,11.8648,15.9283,0.051842,0.065989,39.9086
5,154,5.48764,14.1933,0.034625,0.0864535,26.2927
6,176,8.65199,17.3647,0.0471108,0.0900976,24.7664
4,20,4.5742,16.4046,0.194034,0.560848,12.8789
7,113,9.06723,15.0695,0.0748941,0.11515,31.6697
7,177,17.2158,24.1507,0.0891015,0.113856,27.111
8,358,13.7026,17.8836,0.0369638,0.0464593,38.6398
3,5,2.25294,15.597,0.360301,1.59563,22.1578
10,300,20.5705,19.2863,0.0643691,0.056466,50.9958
3,163,2.82311,14.6279,0.0171281,0.087229,10.3209
3,127,2.08264,11.9966,0.0162601,0.0921396,10.1238
7,83,4.37866,9.78834,0.0506914,0.107575,37.3137
11,276,23.2164,19.5059,0.0778507,0.0603165,46.858
8,237,19.1479,22.4514,0.0750461,0.08139,32.5855
6,142,10.8663,19.7578,0.0715518,0.120791,27.3575
6,30,5.23616,12.8024,0.152942,0.316751,31.9903
8,256,3.77621,8.00212,0.0145926,0.0304717,49.5939
5,126,5.1628,14.0227,0.0396642,0.103459,25.2881
