S, J, I, Std_I, m, Std_m, loglike_min
7,209,8.07817,13.8126,0.0373854,0.0615344,34.5921
5,166,8.4199,19.291,0.0485521,0.105838,21.5899
5,154,9.90391,21.8513,0.060796,0.125981,23.6178
3,65,4.79441,22.151,0.0696918,0.299548,8.5919
6,119,7.91739,15.6829,0.0628776,0.116718,33.2101
4,138,4.01425,14.1697,0.028467,0.0976237,15.5754
9,235,15.0924,17.2598,0.0605897,0.0650925,43.2648
2,36,1.66117,16.4736,0.0453114,0.428986,5.3671
8,642,14.4114,18.0857,0.0219884,0.0269876,39.443
9,534,19.6516,20.4404,0.0355588,0.0356709,41.7383
5,155,7.38164,17.578,0.0457403,0.10394,26.0847
5,46,3.44292,10.95,0.0710717,0.209974,20.2217
10,237,12.0429,13.7279,0.0485517,0.0526578,49.8122
6,76,10.7388,20.6744,0.12525,0.21093,29.6034
6,179,9.91645,18.4501,0.0527706,0.0930015,29.1676
7,99,6.06212,11.7559,0.0582548,0.106389,34.2146
8,261,12.4079,16.4647,0.0455489,0.0576884,39.8203
7,217,12.1098,18.4967,0.0530878,0.0767822,36.5149
6,192,7.53043,15.6446,0.0379309,0.0758132,24.789
5,41,8.51041,20.6703,0.175435,0.351347,17.0932
9,365,25.89,25.202,0.0664032,0.0603466,38.9135
9,422,20.7757,21.7516,0.0470277,0.0469213,39.6652
6,228,6.0235,13.3335,0.0258493,0.0557404,33.0177
4,111,4.30707,15.1451,0.0376798,0.127502,21.0394
6,246,9.25087,17.4868,0.0363848,0.0662751,25.4166
5,163,7.38756,17.3076,0.0436134,0.0977214,21.5661
7,58,9.32106,16.3146,0.140544,0.211421,27.3122
8,218,11.8676,15.9309,0.0518535,0.0659983,39.9077
5,154,5.4904,14.1987,0.0346419,0.0864835,26.2905
6,176,8.6388,17.3483,0.0470423,0.0900258,24.7638
4,20,4.57237,16.4015,0.193971,0.560828,12.8786
7,113,9.0659,15.0684,0.074884,0.115144,31.6624
7,177,17.2283,24.1649,0.0891601,0.113909,27.1009
8,358,13.6906,17.873,0.0369327,0.0464347,38.6363
3,5,2.25293,15.5969,0.3603,1.59563,22.1587
10,300,20.5696,19.2858,0.0643666,0.0564649,50.997
3,163,2.82282,14.628,0.0171264,0.0872302,10.3195
3,127,2.08036,11.9891,0.0162426,0.0920858,10.1239
7,83,4.37736,9.78716,0.0506771,0.107565,37.3102
11,276,23.2177,19.5066,0.0778548,0.0603181,46.8511
8,237,19.1677,22.4693,0.0751181,0.0814422,32.5739
6,142,10.8641,19.7554,0.0715386,0.12078,27.3499
6,30,5.2358,12.8028,0.152933,0.316767,31.9852
8,256,3.77789,8.00433,0.014599,0.0304797,49.5834
5,126,5.15721,14.0141,0.0396229,0.103404,25.2935
4,158,3.48823,12.9865,0.0217351,0.0791597,23.9902
4,48,5.98991,19.0144,0.113039,0.318268,18.003
5,50,9.01207,21.6076,0.155348,0.314605,22.0495
7,298,7.60944,13.3316,0.024981,0.042673,45.2978
6,430,4.27105,10.5857,0.00985769,0.0241913,41.4554
2,121,0.869743,10.4463,0.0071957,0.0858042,7.015
2,54,0.96994,11.2236,0.0179719,0.204222,8.13853
12,274,34.0363,24.8491,0.110854,0.0719604,55.3149
10,454,11.4351,13.1758,0.0246215,0.027671,61.9809
4,486,0.01,0.577343,2.06E-05,0.00119035,36.3019
6,200,8.03504,16.0263,0.0388101,0.0744045,23.4815
9,206,11.6706,15.2341,0.0538632,0.0665227,54.5055
6,138,11.4551,20.7998,0.0771621,0.129297,21.8057
5,202,4.53652,12.8182,0.0220716,0.0609879,32.6408
2,196,0.01,1.00001,5.13E-05,0.00512775,12.3422
4,82,8.33636,24.5333,0.0933143,0.248991,12.0051
7,170,11.1487,17.4329,0.0618861,0.0907809,38.9683
4,69,4.14694,14.7272,0.0574791,0.192394,22.577
6,111,7.9968,16.4216,0.0677713,0.129738,30.7684
6,134,7.27874,15.2025,0.0518877,0.10275,30.334
3,50,3.44252,17.4166,0.0656437,0.310307,9.8903
7,192,6.01371,11.4462,0.0305243,0.056325,33.0374
3,130,2.64764,13.959,0.0201116,0.103901,15.376
5,53,14.0022,32.6415,0.212147,0.389634,21.6101
4,173,4.76897,15.8682,0.0269786,0.087346,15.9433
5,130,5.29352,13.8086,0.0394175,0.0987706,23.7753
10,60,13.3123,15.9478,0.184094,0.17994,54.8744
6,168,5.07416,11.698,0.0294882,0.0659775,31.2172
5,114,9.66038,21.6781,0.0787571,0.162814,20.6235
7,354,6.60041,12.4915,0.0183548,0.0340996,46.7574
9,126,18.4457,20.148,0.12859,0.122396,44.0209
