S, J, Theta, Std_Theta, I, Std_I, m, Std_m, loglike_min, Theta_Ewens, loglike_Ewens, Theta2, Std_Theta2, I2, Std_I2, m2, Std_m2, loglike_min2
1,27,0.000259645,nan,2.7,nan,0.0940767,nan,0.000620782,0.000259645,0.00100073,2.7,nan,0.000259645,nan,9.99E-06,nan,0.000730231
3,4,8.10114,17.6804,8.10117,17.6805,0.729758,0.430406,0.741384,3.76644,0.78161,8.10117,17.6805,8.10114,17.6804,0.729757,0.430405,0.741384
1,1,0.1,inf,1,nan,1,nan,0,1,0,1,335544,0.1,inf,1,nan,0
3,14,3.42E+08,8.71E+10,0.854827,0.690483,0.0616988,0.0467621,3.15862,0.854825,3.15862,1.68E+08,6.81E+10,0.854827,0.690483,0.0616989,0.0467621,3.15862
1,9,0.000368474,nan,0.9,nan,0.101124,nan,0.000451807,0.000368474,0.00100136,0.9,nan,0.000368474,nan,4.61E-05,nan,0.000474267
3,11,4.39E+08,1.12E+11,0.98644,0.818681,0.089787,0.0678267,2.89024,0.986448,2.89024,3.54E+08,9.01E+10,0.98645,0.818691,0.0897879,0.0678274,2.89024
3,8,2.44894,2.85097,4.2285,6.43448,0.376586,0.357247,3.15074,1.25354,3.43337,2.44894,2.85097,4.2285,6.43448,0.376586,0.357247,3.15074
1,2,0.0010063,nan,0.2,nan,0.166667,nan,0.000167562,0.0010063,0.00100579,0.2,nan,0.0010063,nan,0.00100529,nan,0.000167562
2,7,4.54259,15.8713,0.722076,0.89222,0.107419,0.118472,1.59338,0.529976,1.61358,4.5426,15.8713,0.722076,0.89222,0.107419,0.118472,1.59338
2,2,1.85E+09,1.56E+11,5.76E+08,1.80E+11,1,5.41E-07,-3.96E-09,497.79,0.00200686,5.17E+08,1.17E+11,1.66E+09,2.04E+11,1,7.41E-08,-2.94E-09
3,11,4.39E+08,1.12E+11,0.98644,0.818681,0.089787,0.0678267,2.89024,0.986448,2.89024,3.54E+08,9.01E+10,0.98645,0.818691,0.0897879,0.0678274,2.89024
3,16,13.5261,62.8535,0.924887,0.765782,0.0580781,0.0452943,3.20649,0.797425,3.21597,13.5261,62.8539,0.924886,0.765781,0.058078,0.0452942,3.20649
1,1,0.1,inf,1,nan,1,nan,0,1,0,1,335544,0.1,inf,1,nan,0
2,4,3.08702,7.60449,1.60986,2.67916,0.349221,0.378219,1.05253,0.879385,1.09329,3.08702,7.60451,1.60986,2.67915,0.349221,0.378219,1.05253
6,32,7.12E+08,1.01E+11,1.9055,1.0015,0.0579082,0.0286731,6.90585,1.90548,6.90585,6.54E+08,1.03E+11,1.90549,1.0015,0.0579081,0.0286731,6.90585
4,18,9.48678,20.5083,1.75166,1.32193,0.0934138,0.0639113,4.74255,1.27998,4.77252,9.4868,20.5083,1.75166,1.32193,0.0934137,0.0639113,4.74255
2,5,3.5544,9.99515,1.08542,1.53118,0.213438,0.236828,1.30418,0.691067,1.33519,3.55441,9.9952,1.08542,1.53118,0.213438,0.236828,1.30418
1,1,0.1,inf,1,nan,1,nan,0,1,0,1,335544,0.1,inf,1,nan,0
4,26,12.8745,37.51,1.31607,0.913115,0.0500102,0.0329628,6.33527,1.06554,6.35146,12.8745,37.5098,1.31607,0.913116,0.0500102,0.0329628,6.33527
1,3,0.000669128,nan,0.3,nan,0.130435,nan,0.00023149,0.000669128,0.00100341,0.3,nan,0.000669128,nan,0.000334452,nan,0.00023149
7,42,1.53E+09,1.69E+11,2.14456,1.02397,0.0497065,0.0225538,8.26289,2.14456,8.26289,1.58E+09,1.98E+11,2.14454,1.02396,0.049706,0.0225535,8.26289
4,5,14.9466,31.7114,14.9466,31.7113,0.78888,0.353355,0.803973,7.1062,0.836749,14.9466,31.7113,14.9466,31.7114,0.788881,0.353355,0.803973
2,2,1.85E+09,1.56E+11,5.76E+08,1.80E+11,1,5.41E-07,-3.96E-09,497.79,0.00200686,5.17E+08,1.17E+11,1.66E+09,2.04E+11,1,7.41E-08,-2.94E-09
2,10,5.7713,25.0113,0.537589,0.619078,0.0563653,0.0612506,1.82426,0.429676,1.83744,5.7713,25.0113,0.537589,0.619078,0.0563653,0.0612506,1.82426
1,1,0.1,inf,1,nan,1,nan,0,1,0,1,335544,0.1,inf,1,nan,0
5,63,1.17E+09,1.23E+11,1.08874,0.599817,0.0172573,0.00934344,7.56083,1.08874,7.56083,1.08877,0.599837,4.20E+09,3.48E+11,1,1.22E-06,7.56083
6,18,1.01E+09,1.44E+11,2.73159,1.55701,0.138437,0.0679854,4.99779,2.73156,4.99779,8.62E+08,1.55E+11,2.73156,1.55699,0.138436,0.0679848,4.99779
7,64,6.49463,4.94622,3.97521,2.55855,0.0593534,0.0359341,12.8603,1.79645,13.1057,6.49463,4.94621,3.97521,2.55855,0.0593534,0.0359341,12.8603
1,1,0.1,inf,1,nan,1,nan,0,1,0,1,335544,0.1,inf,1,nan,0
3,3,7.06E+09,2.68E+11,2.20E+09,nan,1,nan,-2.56E-08,996.299,0.00300863,7.27E+08,1.25E+11,2.34E+09,4.70E+11,1,1.72E-07,-4.32E-10
8,36,10.3458,8.90887,5.51274,3.38095,0.136074,0.0720981,9.85962,2.88777,10.0176,10.3458,8.90888,5.51273,3.38095,0.136074,0.072098,9.85962
6,45,8.22461,8.96498,2.76769,1.71737,0.0591796,0.0345482,9.50408,1.63068,9.64387,8.22461,8.96499,2.76769,1.71737,0.0591796,0.0345482,9.50408
6,50,10.7439,14.5667,2.30931,1.33214,0.0450077,0.0247943,9.74533,1.56268,9.82342,10.7439,14.5667,2.30931,1.33214,0.0450077,0.0247943,9.74533
2,3,3.23607,7.61975,3.23607,7.61974,0.618034,0.555852,0.6143,1.41421,0.664135,3.23607,7.61974,3.23607,7.61975,0.618034,0.555852,0.6143
2,11,1.53263,2.58501,0.990836,1.4117,0.0901511,0.116864,2.35785,0.409566,2.47637,1.53263,2.58502,0.990834,1.4117,0.0901509,0.116864,2.35785
2,2,1.85E+09,1.56E+11,5.76E+08,1.80E+11,1,5.41E-07,-3.96E-09,497.79,0.00200686,5.17E+08,1.17E+11,1.66E+09,2.04E+11,1,7.41E-08,-2.94E-09
2,2,1.85E+09,1.56E+11,5.76E+08,1.80E+11,1,5.41E-07,-3.96E-09,497.79,0.00200686,5.17E+08,1.17E+11,1.66E+09,2.04E+11,1,7.41E-08,-2.94E-09
1,1,0.1,inf,1,nan,1,nan,0,1,0,1,335544,0.1,inf,1,nan,0
5,15,44.342,267.583,2.4156,1.57327,0.147153,0.0817367,4.26083,2.20282,4.26508,44.342,267.583,2.4156,1.57327,0.147153,0.0817367,4.26083
6,24,6.4847,5.7825,5.00395,3.98081,0.178687,0.116751,5.82663,2.23618,6.02398,6.48469,5.78248,5.00395,3.98082,0.178687,0.116751,5.82663
5,23,8.12709,11.0802,2.6886,1.92583,0.1089,0.0695102,5.72018,1.66348,5.79783,8.12709,11.0802,2.68859,1.92583,0.1089,0.0695102,5.72018
3,10,3.12E+08,6.97E+10,1.0522,0.885004,0.104674,0.0788252,2.77077,1.05219,2.77077,3.12E+08,9.53E+10,1.05217,0.884973,0.104671,0.0788229,2.77077
3,13,3.53E+08,7.10E+10,0.890899,0.725011,0.0691107,0.0523552,3.08075,0.890909,3.08075,2.61E+08,7.95E+10,0.890898,0.72501,0.0691106,0.0523551,3.08075
1,1,0.1,inf,1,nan,1,nan,0,1,0,1,335544,0.1,inf,1,nan,0
5,125,1.54402,0.908113,10.1688,14.1544,0.0757914,0.0975015,14.0266,0.892812,15.0043,1.54402,0.908112,10.1688,14.1545,0.0757914,0.0975016,14.0266
3,11,4.39E+08,1.12E+11,0.98644,0.818681,0.089787,0.0678267,2.89024,0.986448,2.89024,3.54E+08,9.01E+10,0.98645,0.818691,0.0897879,0.0678274,2.89024
3,20,5.20E+08,8.92E+10,0.718487,0.564179,0.0364373,0.0275691,3.48818,0.718499,3.48818,3.72E+08,8.30E+10,0.718507,0.564197,0.0364382,0.02757,3.48818
4,26,2.84939,2.61901,3.11797,3.18055,0.110889,0.100571,5.78528,1.06554,6.06377,2.84939,2.61901,3.11796,3.18054,0.110889,0.100571,5.78528
3,3,7.06E+09,2.68E+11,2.20E+09,nan,1,nan,-2.56E-08,996.299,0.00300863,7.27E+08,1.25E+11,2.34E+09,4.70E+11,1,1.72E-07,-4.32E-10
1,9,0.000368474,nan,0.9,nan,0.101124,nan,0.000451807,0.000368474,0.00100136,0.9,nan,0.000368474,nan,4.61E-05,nan,0.000474267
2,2,1.85E+09,1.56E+11,5.76E+08,1.80E+11,1,5.41E-07,-3.96E-09,497.79,0.00200686,5.17E+08,1.17E+11,1.66E+09,2.04E+11,1,7.41E-08,-2.94E-09
1,2,0.0010063,nan,0.2,nan,0.166667,nan,0.000167562,0.0010063,0.00100579,0.2,nan,0.0010063,nan,0.00100529,nan,0.000167562
1,3,0.000669128,nan,0.3,nan,0.130435,nan,0.00023149,0.000669128,0.00100341,0.3,nan,0.000669128,nan,0.000334452,nan,0.00023149
4,18,3.94239,4.32734,2.89907,2.79285,0.145689,0.119903,4.45109,1.27998,4.61837,3.94239,4.32735,2.89907,2.79284,0.145689,0.119903,4.45109
2,12,0.998901,1.38069,1.51653,2.57802,0.121162,0.181014,2.62427,0.392945,2.83064,0.9989,1.38069,1.51653,2.57803,0.121162,0.181014,2.62427
3,5,9.88914,29.6667,3.21398,4.11963,0.445521,0.316642,1.48345,2.22544,1.49873,9.88916,29.6669,3.21397,4.11962,0.445521,0.316642,1.48345
3,16,2.60772,3.28904,1.87767,2.08903,0.111252,0.110005,3.80219,0.797425,3.94686,2.60772,3.28905,1.87767,2.08903,0.111252,0.110004,3.80219
3,11,4.39E+08,1.12E+11,0.98644,0.818681,0.089787,0.0678267,2.89024,0.986448,2.89024,3.54E+08,9.01E+10,0.98645,0.818691,0.0897879,0.0678274,2.89024
3,11,4.39E+08,1.12E+11,0.98644,0.818681,0.089787,0.0678267,2.89024,0.986448,2.89024,3.54E+08,9.01E+10,0.98645,0.818691,0.0897879,0.0678274,2.89024
2,4,3.08702,7.60449,1.60986,2.67916,0.349221,0.378219,1.05253,0.879385,1.09329,3.08702,7.60451,1.60986,2.67915,0.349221,0.378219,1.05253
