S, J, Theta, Std_Theta, I, Std_I, m, Std_m, loglike_min, Theta_Ewens, loglike_Ewens, Theta2, Std_Theta2, I2, Std_I2, m2, Std_m2, loglike_min2
4,16,10.6584,25.251,1.82496,1.38555,0.108468,0.0734183,4.37387,1.37126,4.39929,10.6583,25.2509,1.82496,1.38555,0.108468,0.0734184,4.37387
9,62,5.51858,2.8671,10.6125,8.09958,0.148193,0.0963419,13.1516,2.66097,14.1448,5.51858,2.8671,10.6125,8.09958,0.148193,0.0963419,13.1516
5,16,16.0498,37.7665,2.71831,1.87529,0.153418,0.0896016,4.02009,2.09702,4.04674,16.0498,37.7664,2.71831,1.87529,0.153418,0.0896016,4.02009
9,58,55.759,186.088,3.0716,1.31119,0.0511323,0.0207111,11.603,2.74108,11.6135,55.7591,186.088,3.0716,1.31119,0.0511323,0.020711,11.603
11,45,2.46E+09,2.08E+11,4.32348,1.69299,0.0894696,0.0319,13.4006,4.32347,13.4006,1.05E+09,1.30E+11,4.32348,1.69299,0.0894696,0.0319,13.4006
14,72,2.25E+09,1.75E+11,4.91328,1.64976,0.0647223,0.0203256,14.1799,4.91327,14.1799,2.76E+09,2.45E+11,4.91323,1.64974,0.0647216,0.0203253,14.1799
9,74,1.11E+09,1.15E+11,2.47172,1.00542,0.0327502,0.0128856,10.8911,2.47173,10.8911,9.40E+08,1.09E+11,2.47175,1.00544,0.0327506,0.0128858,10.8911
13,46,1.19E+09,1.57E+11,5.67873,2.08435,0.112054,0.03652,10.0998,5.67876,10.0998,7.90E+08,1.27E+11,5.67877,2.08437,0.112054,0.0365203,10.0998
7,13,33.1986,81.7192,6.99921,4.92731,0.368395,0.163802,3.35126,5.42529,3.36678,33.1985,81.7185,6.99922,4.92732,0.368395,0.163802,3.35126
9,89,6.42E+08,1.22E+11,2.30378,0.926331,0.0255114,0.00999624,14.3169,2.30378,14.3169,5.85E+08,1.37E+11,2.30377,0.926326,0.0255113,0.00999619,14.3169
9,47,14.3349,13.6768,4.98313,2.57904,0.0977408,0.0456419,10.0744,3.03372,10.2202,14.3349,13.6768,4.98313,2.57905,0.0977408,0.0456419,10.0744
7,68,7.81E+08,1.30E+11,1.75638,0.810272,0.025545,0.0114836,11.2179,1.75637,11.2179,5.17E+08,1.00E+11,1.75638,0.810272,0.025545,0.0114836,11.2179
10,52,7.77E+08,1.20E+11,3.40966,1.36339,0.0626665,0.0234875,11.5856,3.40966,11.5856,5.97E+08,1.24E+11,3.40965,1.36338,0.0626663,0.0234874,11.5856
10,64,2.51E+09,1.86E+11,3.08328,1.20872,0.0466575,0.0174375,12.5444,3.08326,12.5444,1.65E+09,1.38E+11,3.08331,1.20873,0.0466579,0.0174376,12.5444
9,177,13.9461,13.6108,2.82927,1.25826,0.0158211,0.00692476,19.4507,1.8512,19.5907,13.9461,13.6108,2.82927,1.25826,0.0158211,0.00692477,19.4507
16,107,22.4175,14.3135,8.65849,3.32541,0.0755155,0.0268126,19.3283,4.98159,19.5963,22.4175,14.3136,8.65849,3.32541,0.0755155,0.0268126,19.3283
11,40,1.22E+09,1.33E+11,4.66198,1.85809,0.106774,0.0380124,8.00491,4.66198,8.00491,1.05E+09,1.53E+11,4.66204,1.85812,0.106776,0.0380129,8.00491
10,65,8.39852,4.85918,8.08137,5.06777,0.112114,0.0624239,11.7883,3.06166,12.2236,8.39851,4.85918,8.08136,5.06777,0.112114,0.0624239,11.7883
9,44,2.31E+09,1.90E+11,3.14072,1.33689,0.0680682,0.027002,10.4951,3.14068,10.4951,1.23E+09,1.43E+11,3.14066,1.33686,0.068067,0.0270014,10.4951
16,102,25.5912,18.1326,8.25296,3.07262,0.07554,0.0259994,17.0876,5.09065,17.2857,25.5911,18.1325,8.25297,3.07262,0.07554,0.0259994,17.0876
