STATION,Oscillatoriaceae,Cryptomonadaceae,Prorocentrum.dentatum,Prorocentrum.trestinum,Prorocentrum.micans,Prorocentrum.minimum,Prorocentrum.sp.,Dinophysis.caudata,Gymnodinium.spp.,Gyrodinium.sp.,Gymnodiniales,Dissodinium.sp.,Ceratium.fusus,Ceratium.tripos,Ceratium.furca,Ceratium.kofoidii,Gonyaulux.sp.,Oxyphysis.oxytoxoides,Scrippsiella.sp.,Heterocapsa.sp.,Protoperidinium.pellucidum,Protoperidinium.bipes,Protoperidinium.depressum,Protoperidinium.spp.,Peridiniales,Dictyocha.fibula,Detonula.pumila,Thalassiosira.rotula,Thalassiosira.diporocyclus,Thalassiosira.spp.,Thalassiosiraceae,Aulacoseira.ambigua,Aulacoseira.distans,Aulacoseira.granulata,Melosira.varians,Corethron.hystrix,Coscinodiscus.sp.,Dactyliosen.sp.,Palmeria.hardmaniana,Asteromphalus.sarcophagus,Asteromphalus.flabellatus,Rhizosolenia.alata,Rhizosolenia.bergonii,Rhizosolenia.cylindrus,Rhizosolenia.fragilissima,Rhizosolenia.imbricata,Rhizosolenia.robusta,Rhizosolenia.setigera,Rhizosolenia.stolterfothii,Asterionella.glacialis,Diatoma.vulgare,Fragilaria.crotonensis,Fragilaria.sp.,Neodelphineis.pelagica,Synedra.acus,Synedra.spp.,Cerataulina.pelagica,Climacodium.biconcavum,Climacodium.frauenfeldianum,Bacteriastrum.sp.,Chaetoceros.atlanticum,Chaetoceros.compressum,Chaetoceros.lorenzianum,Chaetoceros.peruvianum,Chaetoceros.spp.,Thalassionema.nitzschioides,Thalassiothrix.sp.,Cocconeis.sp.,Achnanthes.sp.,Amphora.sp.,Cymbella.sp.,Gomphonema.sp.,Navicula.sp.,Pleurosigma.spp.,Cylindrotheca.closterium,Nitzschia.spp.,HAPTOPHYCEAE,EUGLENOPHYCEAE,PRASINOPHYCEAE
B13,49600,23400,0,0,5600,3200,7200,0,5600,0,0,0,0,0,0,0,0,0,0,0,0,800,0,800,115200,0,0,0,0,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21600,0,0,0,0,0,0,25200,540000,12600,48600
B14,138000,55800,1000,0,0,1200,0,0,22600,9000,18600,0,0,0,0,0,1000,0,0,0,2200,600,0,2000,181800,0,0,1200,0,3000,16200,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,1141200,0,18000
B15,38400,24960,0,0,0,21680,29600,0,1280,800,7200,0,0,0,0,0,0,0,0,15680,2480,0,0,5760,76960,0,0,0,0,2000,28800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14400,0,0,0,0,0,0,0,0,43200,2080,0,0,0,0,0,800,0,0,14400,1581600,0,28800
B16,0,50400,0,0,0,0,0,0,4200,21200,7200,0,0,0,0,0,0,0,0,2800,4400,0,0,9200,95400,0,0,0,0,0,37800,0,0,0,0,7200,1400,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1400,0,45000,0,3200,0,0,0,0,0,0,63000,2200,0,0,0,0,0,0,0,0,0,572400,0,0
C17,0,50400,0,0,0,1600,1600,0,4200,0,39600,0,0,0,0,0,0,0,7200,0,0,0,0,5400,239400,0,0,0,0,0,82800,0,7600,0,0,0,3800,0,0,0,0,0,0,0,34200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7600,0,0,0,0,1200,1200,0,0,0,1837800,0,0
C18,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,2000,0,0,8800,51600,0,0,0,8400,800,7200,17600,0,0,0,0,800,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11200,0,0,7200,0,0,0,0,17200,0,1600,0,0,0,0,0,0,0,328800,0,7200
C19,0,28800,0,0,0,0,27600,0,0,0,9600,1200,0,0,0,0,0,0,0,0,7200,0,0,7600,70000,0,0,0,0,2400,54000,24000,108000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21600,0,0,0,501600,10800,0
C20,0,32640,0,0,0,0,800,0,0,800,0,0,0,800,0,0,0,0,0,0,0,0,0,0,124980,0,0,0,0,1710,101280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21840,0,0,0,0,0,0,0,275660,0,0
C21,0,27600,0,0,0,0,7200,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,46000,0,0,0,0,0,32400,9600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315600,0,0
C22,0,36000,0,0,0,28800,10800,0,0,0,5200,0,0,0,0,0,0,0,0,8400,0,0,0,6400,201600,0,0,0,0,4400,21600,14400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,14400,622800,1600,0
C23,0,26800,0,0,0,0,3600,0,800,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,2000,111600,0,0,0,0,0,50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,0,388800,0,10800
C24,0,21600,0,0,0,0,0,0,4400,21600,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,83200,0,0,0,0,2400,0,14400,0,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64800,0,0,0,0,1200,0,0,10800,0,0,0,781200,0,28800
C25,0,61200,0,0,0,11600,2400,0,10800,0,0,0,0,0,0,0,0,0,800,0,2800,0,0,1200,273600,0,0,0,0,0,39600,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25200,0,2800,0,1200,0,0,0,1249200,0,7200
D26,174000,18000,0,0,0,1500,0,0,2500,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,1500,87000,0,0,0,0,6000,7500,0,0,3000,17500,0,0,2500,0,0,3000,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,48000,1500,0,0,0,0,0,2000,0,0,27000,846000,0,0
D27,93000,55500,0,0,0,0,0,0,4500,13500,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,42000,1000,0,0,0,9500,27000,9000,0,10500,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53000,1060500,0,0
D28,0,94500,0,0,0,0,0,0,3500,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,3500,153000,1000,0,0,0,8000,103500,0,0,0,4000,0,3500,0,0,31500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,10000,2500,0,0,0,0,0,2500,0,0,14000,1998000,0,0
